# CB-prefixed Z80 opcodes
#
#op|xtr| type | mnemonic    | dest | src  | summary                | description
00 | 0 | 0 | RLC  | RLC B       |      |      | c=B:8,B<rot=1          | Rotate left-circular register B
01 | 0 | 0 | RLC  | RLC C       |      |      | c=C:8,C<rot=1          | Rotate left-circular register C
02 | 0 | 0 | RLC  | RLC D       |      |      | c=D:8,D<rot=1          | Rotate left-circular register D
03 | 0 | 0 | RLC  | RLC E       |      |      | c=E:8,E<rot=1          | Rotate left-circular register E
04 | 0 | 0 | RLC  | RLC H       |      |      | c=H:8,H<rot=1          | Rotate left-circular register H
05 | 0 | 0 | RLC  | RLC L       |      |      | c=L:8,L<rot=1          | Rotate left-circular register L
06 | 0 | 0 | RLC  | RLC (HL)    |      |      | c=$HL:8,$HL<rot=1      | Rotate left-circular memory $HL
07 | 0 | 0 | RLC  | RLC A       |      |      | c=A:8,A<rot=1          | Rotate left-circular register A
08 | 0 | 0 | RRC  | RRC B       |      |      | c=B:0,B>rot=1          | Rotate right-circular register B
09 | 0 | 0 | RRC  | RRC C       |      |      | c=C:0,C>rot=1          | Rotate right-circular register C
0a | 0 | 0 | RRC  | RRC D       |      |      | c=D:0,D>rot=1          | Rotate right-circular register D
0b | 0 | 0 | RRC  | RRC E       |      |      | c=E:0,E>rot=1          | Rotate right-circular register E
0c | 0 | 0 | RRC  | RRC H       |      |      | c=H:0,H>rot=1          | Rotate right-circular register H
0d | 0 | 0 | RRC  | RRC L       |      |      | c=L:0,L>rot=1          | Rotate right-circular register L
0e | 0 | 0 | RRC  | RRC (HL)    |      |      | c=$HL:0,$HL>rot=1      | Rotate right-circular memory $HL
0f | 0 | 0 | RRC  | RRC A       |      |      | c=A:0,A>rot=1          | Rotate right-circular register A
10 | 0 | 0 | RL   | RL B        |      |      | (c,B)<rot=(c,B)        | Rotate left through carry register B
11 | 0 | 0 | RL   | RL C        |      |      | (c,C)<rot=(c,C)        | Rotate left through carry register C
12 | 0 | 0 | RL   | RL D        |      |      | (c,D)<rot=(c,D)        | Rotate left through carry register D
13 | 0 | 0 | RL   | RL E        |      |      | (c,E)<rot=(c,E)        | Rotate left through carry register E
14 | 0 | 0 | RL   | RL H        |      |      | (c,H)<rot=(c,H)        | Rotate left through carry register H
15 | 0 | 0 | RL   | RL L        |      |      | (c,L)<rot=(c,L)        | Rotate left through carry register L
16 | 0 | 0 | RL   | RL (HL)     |      |      | (c,$HL)<rot=(c,$HL)    | Rotate left through carry memory $HL
17 | 0 | 0 | RL   | RL A        |      |      | (c,A)<rot=(c,A)        | Rotate left through carry register A
18 | 0 | 0 | RR   | RR B        |      |      | (B,c)<rot=(B,c)        | Rotate right though carry register B
19 | 0 | 0 | RR   | RR C        |      |      | (C,c)<rot=(C,c)        | Rotate right though carry register C
1a | 0 | 0 | RR   | RR D        |      |      | (D,c)<rot=(D,c)        | Rotate right though carry register D
1b | 0 | 0 | RR   | RR E        |      |      | (E,c)<rot=(E,c)        | Rotate right though carry register E
1c | 0 | 0 | RR   | RR H        |      |      | (H,c)<rot=(H,c)        | Rotate right though carry register H
1d | 0 | 0 | RR   | RR L        |      |      | (L,c)<rot=(L,c)        | Rotate right though carry register L
1e | 0 | 0 | RR   | RR (HL)     |      |      | ($HL,c)<rot=($HL,c)    | Rotate right though carry memory $HL
1f | 0 | 0 | RR   | RR A        |      |      | (A,c)<rot=(A,c)        | Rotate right though carry register A
20 | 0 | 0 | SLA  | SLA B       |      |      | (c,B)=(B,0)<<1         | Shift left-arithmetic register B
